path,exists,is_dir,tracked,ignored,size,nfiles
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_unfreeze_ifam_head_lr1e5_20260716.csv,True,False,False,False,5500,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_unfreeze_ifam_head_lr1e5_keycells_20260716.csv,True,False,False,False,1290,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_unfreeze_weighted_comp1_key_20260716.csv,True,False,False,False,995,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_unfreeze_weighted_otherkey_20260716.csv,True,False,False,False,993,1
results/260615_fill/artifacts/dair_data_intermediate_rf_assist_keycells_20260707.csv,True,False,False,False,551,1
results/260615_fill/artifacts/dair_data_intermediate_rf_assist_trainonly_keycells_20260714.csv,True,False,False,False,552,1
results/260615_fill/artifacts/dair_data_intermediate_rf_assist_trainonly_keycells_comp135_20260716.csv,True,False,False,False,781,1
results/260615_fill/artifacts/dair_data_strict_dual_delay_none_ours_20260706.csv,True,False,False,False,10489,1
results/260615_fill/artifacts/dair_data_strict_dual_delay_none_ours_comp135_20260716.csv,True,False,False,False,10105,1
results/260615_fill/artifacts/dair_data_strict_dual_delay_rf_ours_20260706.csv,True,False,False,False,2928,1
results/260615_fill/artifacts/dair_detector_ours_history2_rf_trainonly_strict_20260714.csv,True,False,False,False,4767,1
results/260615_fill/artifacts/dair_detector_ours_history2_rf_trainval_diag_strict_20260714.csv,True,False,False,False,4843,1
results/260615_fill/artifacts/dair_detector_ours_history2_rf_valcache_strict_20260705.csv,True,False,False,False,4748,1
results/260615_fill/artifacts/dair_detector_tclf_receiver_strict_20260704_rechecked.csv,True,False,False,False,4280,1
results/260615_fill/artifacts/dair_late_fusion_no_comp_strict_20260704_rechecked.csv,True,False,False,False,4190,1
results/260615_fill/artifacts/dair_late_fusion_no_comp_strict_comp135_20260716.csv,True,False,False,False,4328,1
results/260615_fill/artifacts/dair_late_fusion_ours_history2_rf_trainonly_strict_20260714.csv,True,False,False,False,4574,1
results/260615_fill/artifacts/dair_late_fusion_ours_history2_rf_trainonly_strict_comp135_20260716.csv,True,False,False,False,4718,1
results/260615_fill/artifacts/dair_late_fusion_ours_history2_rf_trainval_diag_strict_20260714.csv,True,False,False,False,4646,1
results/260615_fill/artifacts/dair_late_fusion_ours_history2_rf_valcache_strict_20260705.csv,True,False,False,False,4556,1
results/260615_fill/artifacts/dair_late_fusion_tclf_receiver_strict_20260704_rechecked.csv,True,False,False,False,4334,1
results/260615_fill/artifacts/dair_late_fusion_tclf_receiver_strict_comp135_20260716.csv,True,False,False,False,4472,1
results/260615_fill/artifacts/dair_lrcp_latency_ap.csv,True,False,False,False,1853,1
results/260615_fill/artifacts/dair_lrcp_strict_dual_delay_ap.csv,True,False,False,False,7951,1
results/260615_fill/artifacts/dair_lrcp_strict_dual_delay_parts/,True,True,False,False,82212,72
results/260615_fill/artifacts/dair_lrcp_strict_dual_delay_parts_comp135_20260716/,True,True,False,False,20535,25
results/260615_fill/artifacts/dair_trafalign_compat_debug_20260708.csv,True,False,False,False,544,1
results/260615_fill/artifacts/dair_trafalign_compat_debug_score0_20260708.csv,True,False,False,False,315,1
results/260615_fill/artifacts/v2xsim_data_compensation_ap.csv,True,False,False,False,9290,1
results/260615_fill/artifacts/v2xsim_data_compensation_ap_comp135_20260716.csv,True,False,False,False,9290,1
results/260615_fill/artifacts/v2xsim_data_ifam_joint_delay_comp_20260713.csv,True,False,False,False,4286,1
results/260615_fill/artifacts/v2xsim_data_ifam_joint_delay_comp_scale01_20260713.csv,True,False,False,False,4430,1
results/260615_fill/artifacts/v2xsim_data_ifam_joint_delay_comp_scale01_comp135_20260716.csv,True,False,False,False,4430,1
results/260615_fill/artifacts/v2xsim_data_intermediate_fairness_audit_20260707.csv,True,False,False,False,2434,1
results/260615_fill/artifacts/v2xsim_data_syncnet_strict_20260704.csv,True,False,False,False,4772,1
results/260615_fill/cache/dair_data_feature_t10n10/,True,True,False,False,332190632811,13202
results/260615_fill/cache/dair_data_intermediate_boxes_20260707/,True,True,False,False,21575185,5
results/260615_fill/cache/dair_data_rf_ours_20260706/,True,True,False,False,64162822,20
results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/,True,True,False,False,4685320,36
results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/`、`results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/,False,False,False,False,,
results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/,True,True,False,False,2448404,18
results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/,True,True,False,False,2430432,18
results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/,True,True,False,False,3315073,18
results/dair_v2x/official_baselines/logs_train_cache_20260714/late_fusion_no_comp_train_cache_full_gpu0_resume.log,True,False,False,True,213172,1
results/dair_v2x_seq/download_status_20260708.json,True,False,False,False,612,1
results/dair_v2x_seq/download_status_retry_20260708.json,True,False,False,False,1962,1
results/dair_v2x_seq/trafalign_baseline_comp0_spconv2121.csv,True,False,False,False,1383,1
results/dair_v2x_seq/trafalign_baseline_comp1_spconv2121.csv,True,False,False,False,1397,1
results/dair_v2x_seq/trafalign_baseline_comp2_spconv2121.csv,True,False,False,False,1397,1
results/dair_v2x_seq/trafalign_baseline_comp3_spconv2121.csv,True,False,False,False,1397,1
results/dair_v2x_seq/trafalign_baseline_comp4_spconv2121.csv,True,False,False,False,1396,1
results/dair_v2x_seq/trafalign_baseline_comp5_spconv2121.csv,True,False,False,False,1394,1
results/dair_v2x_seq/trafalign_feature_cache_spconv2121/,True,True,False,False,32135798169,20921
results/dair_v2x_seq/trafalign_joint_delay_comp_adaptive_bypass_comp0_3_4_5_20260716.csv,True,False,False,False,7362,1
results/dair_v2x_seq/trafalign_joint_delay_comp_adaptive_bypass_comp0_4_5_20260716.csv,True,False,False,False,6930,1
results/dair_v2x_seq/trafalign_joint_delay_comp_key_comp0.csv,True,False,False,False,302,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_adaptive2to4_bypass_comp0_spconv2121.csv,True,False,False,False,5493,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_adaptive2to4_comp0_spconv2121.csv,True,False,False,False,1665,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_adaptive2to4_comp1_spconv2121.csv,True,False,False,False,1445,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_adaptive2to4_comp2_spconv2121.csv,True,False,False,False,1679,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_adaptive2to4_comp3_spconv2121.csv,True,False,False,False,1445,1
results/dair_v2x_seq/trafalign_joint_delay_comp_only_adaptive2to4_comp4_spconv2121.csv,True,False,False,False,1679,1
