scene,interval,last_input_frame,target_frame,iou,baseline_iou
19,1,19,20,0.906672,0.859333
19,2,19,21,0.896526,0.856209
19,3,19,22,0.906786,0.865695
19,4,19,23,0.903695,0.855283
19,5,19,24,0.901493,0.858349
19,6,19,25,0.902985,0.865666
19,7,19,26,0.891458,0.864551
19,8,19,27,0.903358,0.863182
19,9,19,28,0.902648,0.864283
19,1,20,21,0.893458,0.863093
19,2,20,22,0.907428,0.879104
19,3,20,23,0.904709,0.867154
19,4,20,24,0.902129,0.858074
19,5,20,25,0.903659,0.868259
19,6,20,26,0.893538,0.860672
19,7,20,27,0.902239,0.866487
19,8,20,28,0.902985,0.862572
19,9,20,29,0.903250,0.878729
19,1,21,22,0.908003,0.870943
19,2,21,23,0.903997,0.861165
19,3,21,24,0.901419,0.862828
19,4,21,25,0.902985,0.859399
19,5,21,26,0.892870,0.861855
19,6,21,27,0.904442,0.861218
19,7,21,28,0.903021,0.861604
19,8,21,29,0.904033,0.866925
19,9,21,30,0.904104,0.863426
19,1,22,23,0.904120,0.875724
19,2,22,24,0.901082,0.869465
19,3,22,25,0.902612,0.876110
19,4,22,26,0.892537,0.867801
19,5,22,27,0.903731,0.872160
19,6,22,28,0.903767,0.874711
19,7,22,29,0.903358,0.870670
19,8,22,30,0.904478,0.872930
19,9,22,31,0.904851,0.873749
19,1,23,24,0.899028,0.871954
19,2,23,25,0.902239,0.863462
19,3,23,26,0.892497,0.865221
19,4,23,27,0.903358,0.871042
19,5,23,28,0.903394,0.862798
19,6,23,29,0.904033,0.865229
19,7,23,30,0.904104,0.864615
19,8,23,31,0.904478,0.871192
19,9,23,32,0.895522,0.872819
19,1,24,25,0.902695,0.863689
19,2,24,26,0.892870,0.856096
19,3,24,27,0.903394,0.864792
19,4,24,28,0.903057,0.869498
19,5,24,29,0.903731,0.869784
19,6,24,30,0.904513,0.867721
19,7,24,31,0.905259,0.866384
19,8,24,32,0.897388,0.862215
19,9,24,33,0.904442,0.869162
19,1,25,26,0.892216,0.867054
19,2,25,27,0.903358,0.869263
19,3,25,28,0.903021,0.866769
19,4,25,29,0.903695,0.864896
19,5,25,30,0.903430,0.861420
19,6,25,31,0.905970,0.866538
19,7,25,32,0.897388,0.870306
19,8,25,33,0.904478,0.872924
19,9,25,34,0.905224,0.871142
19,1,26,27,0.901609,0.856647
19,2,26,28,0.903659,0.859900
19,3,26,29,0.902985,0.857308
19,4,26,30,0.904140,0.860286
19,5,26,31,0.905970,0.861829
19,6,26,32,0.897388,0.858359
19,7,26,33,0.904104,0.855988
19,8,26,34,0.904815,0.861390
19,9,26,35,0.907428,0.865199
19,1,27,28,0.902804,0.865718
19,2,27,29,0.901566,0.861698
19,3,27,30,0.904513,0.870420
19,4,27,31,0.906378,0.874855
19,5,27,32,0.898507,0.866358
19,6,27,33,0.904513,0.868259
19,7,27,34,0.904886,0.866487
19,8,27,35,0.907124,0.866692
19,9,27,36,0.901493,0.859447
19,1,28,29,0.904084,0.865666
19,2,28,30,0.905118,0.862903
19,3,28,31,0.906682,0.878143
19,4,28,32,0.898096,0.873982
19,5,28,33,0.904478,0.859333
19,6,28,34,0.904478,0.861857
19,7,28,35,0.907124,0.864212
19,8,28,36,0.902539,0.861976
19,9,28,37,0.909295,0.865414
19,1,29,30,0.902056,0.865333
19,2,29,31,0.905224,0.865436
19,3,29,32,0.897761,0.864865
19,4,29,33,0.904104,0.870370
19,5,29,34,0.904851,0.875822
19,6,29,35,0.907836,0.868077
19,7,29,36,0.901156,0.862972
19,8,29,37,0.909328,0.867127
19,9,29,38,0.897723,0.877186
19,1,30,31,0.906846,0.875628
19,2,30,32,0.899141,0.864250
19,3,30,33,0.904815,0.861143
19,4,30,34,0.904851,0.862956
19,5,30,35,0.907836,0.865311
19,6,30,36,0.900783,0.876792
19,7,30,37,0.908989,0.867229
19,8,30,38,0.898096,0.865689
19,9,30,39,0.915299,0.865826
19,1,31,32,0.895288,0.867954
19,2,31,33,0.905082,0.867692
19,3,31,34,0.904815,0.877464
19,4,31,35,0.908887,0.867562
19,5,31,36,0.901829,0.870370
19,6,31,37,0.908616,0.865900
19,7,31,38,0.898058,0.862919
19,8,31,39,0.914894,0.867355
19,9,31,40,0.905597,0.872545
19,1,32,33,0.901235,0.863531
19,2,32,34,0.904780,0.871130
19,3,32,35,0.908140,0.874952
19,4,32,36,0.900410,0.864040
19,5,32,37,0.908243,0.862466
19,6,32,38,0.897723,0.865943
19,7,32,39,0.914894,0.869666
19,8,32,40,0.907020,0.868391
19,9,32,41,0.901866,0.872481
19,1,33,34,0.900150,0.866538
19,2,33,35,0.907733,0.868897
19,3,33,36,0.900037,0.865948
19,4,33,37,0.907159,0.870819
19,5,33,38,0.896642,0.870743
19,6,33,39,0.913092,0.870832
19,7,33,40,0.906682,0.868846
19,8,33,41,0.900820,0.866436
19,9,33,42,0.913401,0.868582
19,1,34,35,0.909465,0.876496
19,2,34,36,0.901119,0.864896
19,3,34,37,0.909023,0.863323
19,4,34,38,0.897426,0.868960
19,5,34,39,0.914243,0.866922
19,6,34,40,0.906040,0.869231
19,7,34,41,0.903021,0.869699
19,8,34,42,0.914894,0.875433
19,9,34,43,0.901493,0.860930
19,1,35,36,0.898767,0.870135
19,2,35,37,0.908616,0.872839
19,3,35,38,0.898134,0.868441
19,4,35,39,0.914957,0.880769
19,5,35,40,0.907124,0.865134
19,6,35,41,0.903394,0.868462
19,7,35,42,0.913838,0.872031
19,8,35,43,0.901493,0.863287
19,9,35,44,0.899254,0.866718
19,1,36,37,0.908785,0.871341
19,2,36,38,0.897761,0.864040
19,3,36,39,0.914616,0.869916
19,4,36,40,0.907836,0.870085
19,5,36,41,0.903394,0.872727
19,6,36,42,0.913465,0.874134
19,7,36,43,0.900746,0.863917
19,8,36,44,0.899216,0.865199
19,9,36,45,0.904691,0.865591
19,1,37,38,0.898578,0.868928
19,2,37,39,0.914925,0.876917
19,3,37,40,0.907124,0.865620
19,4,37,41,0.903394,0.868947
19,5,37,42,0.913465,0.881154
19,6,37,43,0.901493,0.860920
19,7,37,44,0.898545,0.870085
19,8,37,45,0.905099,0.871883
19,9,37,46,0.891781,0.862135
19,1,38,39,0.912182,0.870385
19,2,38,40,0.907020,0.864792
19,3,38,41,0.903322,0.868859
19,4,38,42,0.913092,0.872447
19,5,38,43,0.900037,0.863654
19,6,38,44,0.900261,0.871456
19,7,38,45,0.903982,0.868208
19,8,38,46,0.891741,0.861283
19,9,38,47,0.891902,0.856154
19,1,39,40,0.905900,0.867788
19,2,39,41,0.903358,0.876154
19,3,39,42,0.913806,0.870377
19,4,39,43,0.900447,0.872406
19,5,39,44,0.899291,0.872979
19,6,39,45,0.905099,0.871177
19,7,39,46,0.890747,0.866462
19,8,39,47,0.890579,0.865620
19,9,39,48,0.895146,0.867507
19,1,40,41,0.903479,0.868411
19,2,40,42,0.912346,0.874137
19,3,40,43,0.901493,0.864667
19,4,40,44,0.899627,0.867386
19,5,40,45,0.905471,0.863480
19,6,40,46,0.891119,0.865177
19,7,40,47,0.889507,0.857909
19,8,40,48,0.896181,0.859107
19,9,40,49,0.890406,0.856871
19,1,41,42,0.911061,0.870299
19,2,41,43,0.900746,0.875242
19,3,41,44,0.899254,0.870019
19,4,41,45,0.905471,0.867512
19,5,41,46,0.890747,0.865637
