comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,4,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,4,0.8112244441895354,0.7867819867780405,0.024442457411494922,0.07367098515259204
2,0,0.4,0.0,2,0,4,0.7459513780759073,0.7302619991258259,0.015689378950081434,0.11218071595628384
0,1,0.0,0.2,1,1,4,0.8112244441895354,0.7867819867780405,0.024442457411494922,0.07367098515259204
1,1,0.2,0.2,2,1,4,0.7459513780759073,0.7302619991258259,0.015689378950081434,0.11218071595628384
2,1,0.4,0.2,3,1,4,0.6800468773806414,0.6552949848660169,0.024751892514624535,0.12334280869743042
0,2,0.0,0.4,2,2,4,0.7459513780759073,0.7302619991258259,0.015689378950081434,0.11218071595628384
1,2,0.2,0.4,3,2,4,0.6800468773806414,0.6552949848660169,0.024751892514624535,0.12334280869743042
2,2,0.4,0.4,4,2,4,0.643880905619133,0.6123559568648719,0.03152494875426104,0.1233608678757498
