method,mode,comp_delay_frames,pred_iou_avg,pred_iou_comm0,pred_iou_comm1,pred_iou_comm2,pred_iou_comm3,pred_iou_comm4,pred_iou_comm5,dynamic_iou_avg,dynamic_iou_comm0,dynamic_iou_comm1,dynamic_iou_comm2,dynamic_iou_comm3,dynamic_iou_comm4,dynamic_iou_comm5,copy_last_iou_avg,copy_last_iou_comm0,copy_last_iou_comm1,copy_last_iou_comm2,copy_last_iou_comm3,copy_last_iou_comm4,copy_last_iou_comm5,delta_iou_avg,delta_iou_comm0,delta_iou_comm1,delta_iou_comm2,delta_iou_comm3,delta_iou_comm4,delta_iou_comm5
No compensation (V2VNet-style delayed baseline),no_comp,0,0.3674755446864491,1.0,0.46673927255004266,0.2773573426614537,0.19306594553861994,0.14799095312329913,0.11969975424527922,0.1820650552074008,1.0,0.021128021486123544,0.019337511190689348,0.018084153983885406,0.01736794986571173,0.01647269471799463,0.3674755446864491,1.0,0.46673927255004266,0.2773573426614537,0.19306594553861994,0.14799095312329913,0.11969975424527922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No compensation (V2VNet-style delayed baseline),no_comp,2,0.156171993747155,0.2773573426614537,0.19306594553861994,0.14799095312329913,0.11969975424527922,0.10469595876112661,0.09422200815315152,0.016980005968367653,0.019337511190689348,0.018084153983885406,0.01736794986571173,0.01647269471799463,0.015756490599820948,0.01486123545210385,0.156171993747155,0.2773573426614537,0.19306594553861994,0.14799095312329913,0.11969975424527922,0.10469595876112661,0.09422200815315152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No compensation (V2VNet-style delayed baseline),no_comp,4,0.10588741272905383,0.14799095312329913,0.11969975424527922,0.10469595876112661,0.09422200815315152,0.08804679389454301,0.08066900819692359,0.015338704864219637,0.01736794986571173,0.01647269471799463,0.015756490599820948,0.01486123545210385,0.01414503133393017,0.01342882721575649,0.10588741272905383,0.14799095312329913,0.11969975424527922,0.10469595876112661,0.09422200815315152,0.08804679389454301,0.08066900819692359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dual compensation (V2VNet+DLPCM-style proxy),dual,0,0.5686787482661539,1.0,0.653858483968668,0.5463141122164271,0.4632904609666941,0.399976894292529,0.3486325381526059,0.5518958470913721,1.0,0.43666229488265906,0.5115299564873035,0.4870784954216346,0.45281562450985435,0.42328871124678125,0.3674755446864491,1.0,0.46673927255004266,0.2773573426614537,0.19306594553861994,0.14799095312329913,0.11969975424527922,0.20120320357970486,0.0,0.18711921141862528,0.26895676955497344,0.270224515428074,0.2519859411692298,0.2289327839073267
Dual compensation (V2VNet+DLPCM-style proxy),dual,2,0.3895684089721472,0.5463141122164271,0.4632904609666941,0.399976894292529,0.3486325381526059,0.3072749468178022,0.27192150138682497,0.43686013905163956,0.5115299564873035,0.4870784954216346,0.45281562450985435,0.42328871124678125,0.39130872314826654,0.35513932349599703,0.156171993747155,0.2773573426614537,0.19306594553861994,0.14799095312329913,0.11969975424527922,0.10469595876112661,0.09422200815315152,0.2333964152249922,0.26895676955497344,0.270224515428074,0.2519859411692298,0.2289327839073267,0.20257898805667557,0.17769949323367343
Dual compensation (V2VNet+DLPCM-style proxy),dual,4,0.2981750741739132,0.399976894292529,0.3486325381526059,0.3072749468178022,0.27192150138682497,0.24311602107906602,0.21812854331465123,0.3732836197993561,0.45281562450985435,0.42328871124678125,0.39130872314826654,0.35513932349599703,0.3222645717542051,0.29488476464103236,0.10588741272905383,0.14799095312329913,0.11969975424527922,0.10469595876112661,0.09422200815315152,0.08804679389454301,0.08066900819692359,0.19228766144485934,0.2519859411692298,0.2289327839073267,0.20257898805667557,0.17769949323367343,0.155069227184523,0.13745953511772763
