method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
LRCP,0,0,,,1.4627,0.2163,dair_lrcp_strict_dual_delay_eval,no-delay LRCP at sender=T receiver=T
LRCP + Ours,0,0,,,1.4627,0.2163,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-0; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
