run,epoch,step,IoU,Delta_IoU,Dynamic_IoU
T10_n10,30,24600,0.7243,0.0559,0.3332
T10_n15,30,46200,0.7075,0.0549,0.3109
T10_n3,30,13350,0.7678,0.0558,0.3413
T10_n5,30,13050,0.7513,0.0570,0.3356
T20_n5,30,23100,0.7496,0.0581,0.3297
T30_n5,30,40200,0.7518,0.0597,0.3326
T5_n5,30,13800,0.7505,0.0540,0.3204
baseline,30,13050,0.7488,0.0545,0.3296
bottleneck12,30,13050,0.7193,0.0250,0.0986
ds64_fp16,30,13050,0.7200,0.0258,0.0914
gru_fp16,30,13050,0.7462,0.0520,0.3075
