scene,interval,last_input_frame,target_frame,iou,baseline_iou
19,1,19,20,0.918753,0.884115
19,2,19,21,0.913285,0.886299
19,3,19,22,0.918379,0.897948
19,4,19,23,0.921199,0.895455
19,5,19,24,0.911716,0.891676
19,6,19,25,0.915367,0.885227
19,7,19,26,0.920044,0.886878
19,8,19,27,0.915602,0.896296
19,9,19,28,0.914539,0.893569
19,1,20,21,0.910814,0.893021
19,2,20,22,0.919310,0.885292
19,3,20,23,0.917314,0.892491
19,4,20,24,0.912681,0.888699
19,5,20,25,0.913697,0.890857
19,6,20,26,0.922136,0.886054
19,7,20,27,0.915556,0.889015
19,8,20,28,0.916620,0.888446
19,9,20,29,0.913333,0.895369
19,1,21,22,0.917923,0.884265
19,2,21,23,0.918979,0.892571
19,3,21,24,0.911716,0.887679
19,4,21,25,0.914397,0.883362
19,5,21,26,0.921199,0.885031
19,6,21,27,0.916759,0.890160
19,7,21,28,0.916204,0.890670
19,8,21,29,0.912971,0.885714
19,9,21,30,0.917960,0.890286
19,1,22,23,0.919265,0.892369
19,2,22,24,0.911210,0.889651
19,3,22,25,0.913333,0.887493
19,4,22,26,0.922778,0.892369
19,5,22,27,0.918333,0.888889
19,6,22,28,0.915696,0.893714
19,7,22,29,0.912417,0.892000
19,8,22,30,0.917314,0.890091
19,9,22,31,0.907222,0.886156
19,1,23,24,0.910356,0.889333
19,2,23,25,0.914397,0.893654
19,3,23,26,0.920688,0.893121
19,4,23,27,0.917314,0.895037
19,5,23,28,0.914634,0.886932
19,6,23,29,0.915047,0.902523
19,7,23,30,0.918379,0.897319
19,8,23,31,0.906215,0.882621
19,9,23,32,0.923973,0.891723
19,1,24,25,0.914811,0.884439
19,2,24,26,0.921710,0.889333
19,3,24,27,0.916251,0.888000
19,4,24,28,0.916204,0.891753
19,5,24,29,0.914492,0.882487
19,6,24,30,0.916805,0.885975
19,7,24,31,0.904603,0.874501
19,8,24,32,0.922906,0.890091
19,9,24,33,0.911765,0.881279
19,1,25,26,0.918242,0.894737
19,2,25,27,0.917222,0.893410
19,3,25,28,0.916111,0.889588
19,4,25,29,0.912320,0.885714
19,5,25,30,0.916759,0.882755
19,6,25,31,0.905608,0.882016
19,7,25,32,0.920732,0.879388
19,8,25,33,0.910100,0.874858
19,9,25,34,0.919534,0.893204
19,1,26,27,0.916899,0.893957
19,2,26,28,0.915556,0.898799
19,3,26,29,0.914397,0.891676
19,4,26,30,0.918934,0.891923
19,5,26,31,0.905660,0.893410
