model,device,batch,T,steps,params,state_mib_per_agent,mean_ms,min_ms,max_ms
convlstm,cuda,1,10,4,85569,16.0,3.5900257527828217,3.5741515457630157,3.624081611633301
compressed_lstm,cuda,1,10,4,85569,16.0,3.632459044456482,3.6265328526496887,3.63883376121521
gru_fp16,cuda,1,10,4,66497,4.0,4.399595409631729,4.346322268247604,4.5625753700733185
ds64_fp16,cuda,1,10,4,66497,0.25,4.209376126527786,4.207786172628403,4.2107440531253815
bottleneck12,cuda,1,10,4,67309,0.25,4.313688725233078,4.282176494598389,4.345230758190155
