scene,interval,last_input_frame,target_frame,iou,baseline_iou
8,2,36,38,0.554884,0.450483
8,3,36,39,0.533110,0.435632
8,4,36,40,0.502370,0.407167
8,5,36,41,0.474419,0.397168
8,6,36,42,0.454432,0.380107
8,7,36,43,0.431994,0.366747
8,8,36,44,0.416476,0.367569
8,9,36,45,0.403571,0.353759
8,1,37,38,0.614915,0.491300
8,2,37,39,0.551822,0.445072
8,3,37,40,0.511173,0.426518
8,4,37,41,0.484816,0.396770
8,5,37,42,0.466691,0.385119
8,6,37,43,0.445907,0.372517
8,7,37,44,0.424253,0.361923
8,8,37,45,0.412894,0.358718
8,9,37,46,0.398156,0.342200
8,1,38,39,0.603667,0.489130
8,2,38,40,0.533722,0.444823
8,3,38,41,0.503876,0.424799
8,4,38,42,0.481380,0.386105
8,5,38,43,0.458191,0.379538
8,6,38,44,0.436831,0.364736
8,7,38,45,0.412693,0.361739
8,8,38,46,0.404851,0.352194
8,9,38,47,0.391158,0.338452
8,1,39,40,0.579950,0.476801
8,2,39,41,0.517936,0.427002
8,3,39,42,0.488821,0.406404
8,4,39,43,0.471974,0.386067
8,5,39,44,0.449142,0.372493
8,6,39,45,0.425136,0.360408
8,7,39,46,0.409622,0.354945
8,8,39,47,0.395279,0.346964
8,9,39,48,0.379993,0.333944
8,1,40,41,0.570125,0.462840
8,2,40,42,0.497540,0.416156
8,3,40,43,0.486830,0.393443
8,4,40,44,0.460229,0.381678
8,5,40,45,0.436234,0.362262
8,6,40,46,0.415202,0.350008
8,7,40,47,0.407098,0.351243
8,8,40,48,0.392316,0.333843
8,9,40,49,0.381792,0.327042
8,1,41,42,0.551607,0.445603
8,2,41,43,0.493852,0.413567
8,3,41,44,0.479741,0.385527
8,4,41,45,0.456878,0.368446
8,5,41,46,0.434937,0.353600
8,6,41,47,0.418175,0.352715
8,7,41,48,0.401136,0.335160
8,8,41,49,0.385949,0.328369
8,9,41,50,0.365012,0.315301
8,1,42,43,0.539948,0.437865
8,2,42,44,0.490719,0.407389
8,3,42,45,0.477666,0.383463
8,4,42,46,0.443736,0.357578
8,5,42,47,0.427945,0.362114
8,6,42,48,0.414982,0.342472
8,7,42,49,0.394489,0.329917
8,8,42,50,0.370132,0.316987
8,9,42,51,0.355496,0.303577
8,1,43,44,0.523423,0.436589
8,2,43,45,0.487559,0.404125
8,3,43,46,0.462838,0.369313
8,4,43,47,0.445806,0.358761
8,5,43,48,0.422439,0.354953
8,6,43,49,0.401105,0.341109
8,7,43,50,0.374404,0.325530
8,8,43,51,0.359669,0.313668
8,9,43,52,0.348402,0.301429
8,1,44,45,0.522135,0.436719
8,2,44,46,0.469114,0.392999
8,3,44,47,0.452191,0.367136
8,4,44,48,0.441504,0.356605
8,5,44,49,0.424650,0.349696
8,6,44,50,0.396070,0.338854
8,7,44,51,0.376078,0.322245
8,8,44,52,0.355498,0.302319
8,9,44,53,0.344730,0.300617
8,1,45,46,0.509156,0.425190
8,2,45,47,0.477795,0.396164
8,3,45,48,0.452485,0.366919
8,4,45,49,0.434970,0.353057
8,5,45,50,0.406119,0.336994
8,6,45,51,0.383142,0.333726
8,7,45,52,0.367918,0.315035
8,8,45,53,0.358101,0.297918
8,9,45,54,0.343050,0.298411
