dataset,method,split,delay_ms,delay_ego_ms,samples,empty_gt_batches,AP@0.5,AP@0.7,notes
DAIR-V2X-C compat-for-TraFAlign,TraF-Align pretrained,debug,0,0,49,0,0.00,0.00,"diagnostic adapter; source model is official DAIR-V2X-Seq checkpoint; load_info={'transformed': 8, 'missing': 0, 'unexpected': 0}; max_batches=-1"
DAIR-V2X-C compat-for-TraFAlign,TraF-Align pretrained,debug,400,0,49,0,0.00,0.00,"diagnostic adapter; source model is official DAIR-V2X-Seq checkpoint; load_info={'transformed': 8, 'missing': 0, 'unexpected': 0}; max_batches=-1"
