scene,interval,last_input_frame,target_frame,iou,baseline_iou
19,1,19,20,0.872108,0.817144
19,2,19,21,0.865243,0.811235
19,3,19,22,0.872875,0.817844
19,4,19,23,0.869256,0.814028
19,5,19,24,0.866938,0.813248
19,6,19,25,0.876716,0.814785
19,7,19,26,0.869797,0.820506
19,8,19,27,0.878018,0.819629
19,9,19,28,0.865649,0.818328
19,1,20,21,0.863428,0.821798
19,2,20,22,0.874651,0.830773
19,3,20,23,0.869830,0.829398
19,4,20,24,0.867293,0.819455
19,5,20,25,0.874937,0.827213
19,6,20,26,0.871099,0.827157
19,7,20,27,0.875412,0.826259
19,8,20,28,0.861859,0.823077
19,9,20,29,0.866768,0.822487
19,1,21,22,0.870812,0.815755
19,2,21,23,0.869510,0.817724
19,3,21,24,0.868361,0.813577
19,4,21,25,0.874873,0.816068
19,5,21,26,0.871131,0.826631
19,6,21,27,0.877189,0.829612
19,7,21,28,0.861999,0.815740
19,8,21,29,0.868648,0.827770
19,9,21,30,0.867412,0.818278
19,1,22,23,0.869919,0.827678
19,2,22,24,0.868528,0.823529
19,3,22,25,0.875761,0.828881
19,4,22,26,0.871515,0.825443
19,5,22,27,0.878488,0.828405
19,6,22,28,0.864536,0.821845
19,7,22,29,0.868087,0.825119
19,8,22,30,0.866565,0.822440
19,9,22,31,0.863925,0.812599
19,1,23,24,0.867699,0.822140
19,2,23,25,0.875476,0.826536
19,3,23,26,0.871957,0.823093
19,4,23,27,0.878773,0.829449
19,5,23,28,0.864132,0.815629
19,6,23,29,0.868882,0.827614
19,7,23,30,0.869289,0.818639
19,8,23,31,0.865736,0.818399
19,9,23,32,0.869830,0.826653
19,1,24,25,0.872939,0.817102
19,2,24,26,0.873129,0.819915
19,3,24,27,0.878043,0.822892
19,4,24,28,0.864097,0.818713
19,5,24,29,0.869256,0.820547
19,6,24,30,0.867987,0.817869
19,7,24,31,0.865634,0.823921
19,8,24,32,0.870747,0.818639
19,9,24,33,0.877634,0.816746
19,1,25,26,0.872179,0.830109
19,2,25,27,0.878611,0.828715
19,3,25,28,0.865146,0.824091
19,4,25,29,0.869422,0.824947
19,5,25,30,0.868695,0.827586
19,6,25,31,0.866379,0.820587
19,7,25,32,0.870502,0.819188
19,8,25,33,0.877820,0.826877
19,9,25,34,0.862069,0.820011
19,1,26,27,0.876966,0.830114
19,2,26,28,0.863947,0.812467
19,3,26,29,0.868981,0.819095
19,4,26,30,0.868508,0.825591
19,5,26,31,0.865687,0.818591
19,6,26,32,0.871009,0.820560
19,7,26,33,0.879087,0.830204
19,8,26,34,0.863222,0.816089
19,9,26,35,0.869764,0.826122
19,1,27,28,0.864028,0.817846
19,2,27,29,0.869135,0.823514
19,3,27,30,0.868408,0.825661
19,4,27,31,0.864420,0.823016
19,5,27,32,0.870370,0.822568
19,6,27,33,0.878457,0.826888
19,7,27,34,0.863302,0.820994
19,8,27,35,0.867800,0.820892
19,9,27,36,0.864351,0.825880
19,1,28,29,0.867800,0.818375
19,2,28,30,0.869323,0.824407
19,3,28,31,0.865112,0.816419
19,4,28,32,0.870910,0.821296
19,5,28,33,0.880203,0.818902
19,6,28,34,0.864097,0.816804
19,7,28,35,0.868374,0.825426
19,8,28,36,0.866160,0.817844
19,9,28,37,0.870150,0.820377
19,1,29,30,0.868020,0.821874
19,2,29,31,0.865365,0.817772
19,3,29,32,0.872179,0.817821
19,4,29,33,0.879564,0.827951
19,5,29,34,0.864604,0.825426
19,6,29,35,0.868815,0.822405
19,7,29,36,0.867073,0.824030
19,8,29,37,0.869422,0.818350
19,9,29,38,0.866684,0.824202
19,1,30,31,0.865009,0.824767
19,2,30,32,0.871671,0.822375
19,3,30,33,0.880041,0.830109
19,4,30,34,0.864166,0.820308
19,5,30,35,0.868221,0.819724
19,6,30,36,0.867427,0.819411
19,7,30,37,0.870215,0.827265
19,8,30,38,0.867513,0.818616
19,9,30,39,0.870150,0.820106
19,1,31,32,0.871320,0.812995
19,2,31,33,0.880487,0.828427
19,3,31,34,0.865585,0.811391
19,4,31,35,0.868474,0.817555
19,5,31,36,0.867901,0.817241
19,6,31,37,0.870248,0.826550
19,7,31,38,0.867766,0.824674
19,8,31,39,0.870690,0.816980
19,9,31,40,0.868528,0.815992
19,1,32,33,0.880366,0.819306
19,2,32,34,0.865619,0.815776
19,3,32,35,0.868761,0.821940
19,4,32,36,0.867494,0.819217
19,5,32,37,0.871515,0.818854
