dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,300,300,3316,3.02,0.73,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21449; cache_hit=227935; cache_miss=9238"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,400,300,3316,2.83,0.71,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21393; cache_hit=227249; cache_miss=9279"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,500,300,3316,2.73,0.67,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21316; cache_hit=226336; cache_miss=9313"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,600,300,3316,2.73,0.69,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21230; cache_hit=225341; cache_miss=9350"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,700,300,3316,2.69,0.68,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21146; cache_hit=224408; cache_miss=9397"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,800,300,3316,2.65,0.67,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21068; cache_hit=223545; cache_miss=9449"
