dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align,test,100,100,3316,62.65,26.06,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,200,100,3316,61.51,25.55,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,300,100,3316,60.96,25.00,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,400,100,3316,60.30,24.43,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,500,100,3316,58.86,23.63,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,600,100,3316,57.57,23.07,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
