dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours unfreeze tail/head,test,400,400,3316,22.38,8.92,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_unfreeze_tail_head_20260722; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours unfreeze tail/head,test,900,400,3316,19.16,7.70,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_unfreeze_tail_head_20260722; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
