dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,0,0,3316,77.02,59.04,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=0; cache_hit=0; cache_miss=0"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,100,0,3316,63.02,46.50,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=10256; cache_hit=114270; cache_miss=4441"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,200,0,3316,61.70,46.89,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=10200; cache_hit=113537; cache_miss=4473"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,300,0,3316,61.32,47.36,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=10145; cache_hit=112824; cache_miss=4504"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,400,0,3316,60.76,47.34,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=10086; cache_hit=112099; cache_miss=4543"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,500,0,3316,60.18,47.04,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=10018; cache_hit=111266; cache_miss=4575"
