dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp only,test,0,0,3316,77.01,59.04,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp only,test,100,0,3316,73.61,53.88,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp only,test,200,0,3316,72.30,53.12,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp only,test,300,0,3316,71.82,52.70,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp only,test,400,0,3316,70.91,52.72,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp only,test,500,0,3316,70.04,52.08,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
