dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours unfreeze field/offset,test,200,200,3316,34.83,13.03,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_unfreeze_field_offset_20260722; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours unfreeze field/offset,test,700,200,3316,25.61,9.55,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_unfreeze_field_offset_20260722; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
