dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,200,200,3316,3.61,0.71,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21592; cache_hit=229473; cache_miss=8872"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,300,200,3316,3.51,0.75,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21539; cache_hit=228797; cache_miss=8907"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,400,200,3316,3.31,0.70,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21483; cache_hit=228111; cache_miss=8948"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,500,200,3316,3.23,0.66,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21406; cache_hit=227198; cache_miss=8982"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,600,200,3316,3.19,0.67,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21320; cache_hit=226203; cache_miss=9019"
DAIR-V2X-Seq/SPD,TraF-Align + Ours feature T10-N10,test,700,200,3316,3.17,0.67,"checkpoint=/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36; epoch=60; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; predictor=checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz; feature_cache=results/dair_v2x_seq/trafalign_feature_cache_spconv2121; predicted=21237; cache_hit=225270; cache_miss=9064"
