dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align,test,300,300,3316,34.87,11.61,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,400,300,3316,33.48,11.08,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,500,300,3316,32.08,10.47,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,600,300,3316,30.84,10.16,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,700,300,3316,29.73,9.79,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align,test,800,300,3316,29.24,9.62,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
