dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale min0.05,test,200,200,3316,48.62,16.38,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_min005_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale min0.05,test,300,200,3316,47.46,15.60,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_min005_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale min0.05,test,400,200,3316,46.28,14.98,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_min005_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale min0.05,test,500,200,3316,45.26,14.36,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_min005_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale min0.05,test,600,200,3316,43.85,13.85,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_min005_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale min0.05,test,700,200,3316,43.20,13.54,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_min005_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
