dataset,method,comp_delay,comm_delay,ap30,ap50,ap70,eval_yaml,log
DAIR-V2X-C,DATA + Ours,1,1,58.1977,36.1880,11.9862,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm1_ours_comm1_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp1_comm1.log
DAIR-V2X-C,DATA + Ours,1,2,55.7706,34.7358,11.9236,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm2_ours_comm2_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp1_comm2.log
DAIR-V2X-C,DATA + Ours,1,3,53.9057,33.8587,11.7211,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm3_ours_comm3_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp1_comm3.log
DAIR-V2X-C,DATA + Ours,1,4,52.6153,33.1222,11.5775,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm4_ours_comm4_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp1_comm4.log
DAIR-V2X-C,DATA + Ours,1,5,51.6991,32.6648,11.4107,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm5_ours_comm5_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp1_comm5.log
DAIR-V2X-C,DATA + Ours,3,0,29.6458,15.4145,7.3074,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm0_ours_comm0_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp3_comm0.log
DAIR-V2X-C,DATA + Ours,3,1,29.0425,15.3898,7.3793,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm1_ours_comm1_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp3_comm1.log
DAIR-V2X-C,DATA + Ours,3,2,28.4604,15.3662,7.3985,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm2_ours_comm2_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp3_comm2.log
DAIR-V2X-C,DATA + Ours,3,3,27.9650,15.2569,7.4444,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm3_ours_comm3_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp3_comm3.log
DAIR-V2X-C,DATA + Ours,3,4,27.5460,15.0753,7.3621,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm4_ours_comm4_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp3_comm4.log
DAIR-V2X-C,DATA + Ours,3,5,27.1271,14.9092,7.2462,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm5_ours_comm5_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp3_comm5.log
DAIR-V2X-C,DATA + Ours,5,0,20.1902,12.7537,5.9922,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp5_comm0_ours_comm0_comp5_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp5_comm0.log
DAIR-V2X-C,DATA + Ours,5,1,20.1793,12.8165,6.1128,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp5_comm1_ours_comm1_comp5_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp5_comm1.log
DAIR-V2X-C,DATA + Ours,5,2,20.4902,13.0767,6.2132,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp5_comm2_ours_comm2_comp5_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp5_comm2.log
DAIR-V2X-C,DATA + Ours,5,3,20.3442,12.9216,6.1537,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp5_comm3_ours_comm3_comp5_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp5_comm3.log
DAIR-V2X-C,DATA + Ours,5,4,20.2170,12.7853,6.1265,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp5_comm4_ours_comm4_comp5_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp5_comm4.log
DAIR-V2X-C,DATA + Ours,5,5,19.9859,12.6107,6.0977,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp5_comm5_ours_comm5_comp5_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_ours_comp5_comm5.log
