dataset,baseline,method,comp_delay,comm_delay,ap30,ap50,ap70,used_frames,skipped_frames,notes
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,0,0.6903550355816369,0.583300642256229,0.3827764937311182,1783,0,merged_stats=4
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,5,0.5882646623891444,0.4753882051593081,0.32088879379545604,1778,5,merged_stats=4
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,0,0.4984076436860905,0.2724950459369031,0.1093739177801044,1570,213,merged_stats=4
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,5,0.4084155559950229,0.24278726560363112,0.10345829267512645,1570,213,merged_stats=4
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,4,0,0.26852901649525185,0.17916446288370078,0.08785079975735678,1498,285,merged_stats=4
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,4,5,0.24541198004468542,0.17144087909625816,0.08582828436243657,1498,285,merged_stats=4
