scene,interval,last_input_frame,target_frame,iou,baseline_iou
19,1,19,20,0.874364,0.817144
19,2,19,21,0.864940,0.811235
19,3,19,22,0.874968,0.817844
19,4,19,23,0.870436,0.814028
19,5,19,24,0.867867,0.813248
19,6,19,25,0.876046,0.814785
19,7,19,26,0.872750,0.820506
19,8,19,27,0.878834,0.819629
19,9,19,28,0.864707,0.818328
19,1,20,21,0.864144,0.821798
19,2,20,22,0.875190,0.830773
19,3,20,23,0.870690,0.829398
19,4,20,24,0.867394,0.819455
19,5,20,25,0.875761,0.827213
19,6,20,26,0.872718,0.827157
19,7,20,27,0.878803,0.826259
19,8,20,28,0.863475,0.823077
19,9,20,29,0.869235,0.822487
19,1,21,22,0.872907,0.815755
19,2,21,23,0.870183,0.817724
19,3,21,24,0.867613,0.813577
19,4,21,25,0.875761,0.816068
19,5,21,26,0.873161,0.826631
19,6,21,27,0.878296,0.829612
19,7,21,28,0.862969,0.815740
19,8,21,29,0.868221,0.827770
19,9,21,30,0.868695,0.818278
19,1,22,23,0.869135,0.827678
19,2,22,24,0.867714,0.823529
19,3,22,25,0.876077,0.828881
19,4,22,26,0.872308,0.825443
19,5,22,27,0.879341,0.828405
19,6,22,28,0.864488,0.821845
19,7,22,29,0.869014,0.825119
19,8,22,30,0.869455,0.822440
19,9,22,31,0.865282,0.812599
19,1,23,24,0.867613,0.822140
19,2,23,25,0.874842,0.826536
19,3,23,26,0.872529,0.823093
19,4,23,27,0.879087,0.829449
19,5,23,28,0.864235,0.815629
19,6,23,29,0.869014,0.827614
19,7,23,30,0.869708,0.818639
19,8,23,31,0.865502,0.818399
19,9,23,32,0.871107,0.826653
19,1,24,25,0.875159,0.817102
19,2,24,26,0.873415,0.819915
19,3,24,27,0.878358,0.822892
19,4,24,28,0.864420,0.818713
19,5,24,29,0.869168,0.820547
19,6,24,30,0.868948,0.817869
19,7,24,31,0.865502,0.823921
19,8,24,32,0.871074,0.818639
19,9,24,33,0.878926,0.816746
19,1,25,26,0.872211,0.830109
19,2,25,27,0.878611,0.828715
19,3,25,28,0.864707,0.824091
19,4,25,29,0.869235,0.824947
19,5,25,30,0.868508,0.827586
19,6,25,31,0.865502,0.820587
19,7,25,32,0.871295,0.819188
19,8,25,33,0.878895,0.826877
19,9,25,34,0.864016,0.820011
19,1,26,27,0.877060,0.830114
19,2,26,28,0.864454,0.812467
19,3,26,29,0.868728,0.819095
19,4,26,30,0.868948,0.825591
19,5,26,31,0.865467,0.818591
19,6,26,32,0.871009,0.820560
19,7,26,33,0.879817,0.830204
19,8,26,34,0.864420,0.816089
19,9,26,35,0.868981,0.826122
19,1,27,28,0.863267,0.817846
19,2,27,29,0.869576,0.823514
19,3,27,30,0.868188,0.825661
19,4,27,31,0.864235,0.823016
19,5,27,32,0.870755,0.822568
19,6,27,33,0.879341,0.826888
19,7,27,34,0.864892,0.820994
19,8,27,35,0.868981,0.820892
19,9,27,36,0.867275,0.825880
19,1,28,29,0.869069,0.818375
19,2,28,30,0.868695,0.824407
19,3,28,31,0.865502,0.816419
19,4,28,32,0.871515,0.821296
19,5,28,33,0.879118,0.818902
19,6,28,34,0.864201,0.816804
19,7,28,35,0.869455,0.825426
19,8,28,36,0.867748,0.817844
19,9,28,37,0.871360,0.820377
19,1,29,30,0.867901,0.821874
19,2,29,31,0.865721,0.817772
19,3,29,32,0.871801,0.817821
19,4,29,33,0.879878,0.827951
19,5,29,34,0.865180,0.825426
19,6,29,35,0.869488,0.822405
19,7,29,36,0.868034,0.824030
19,8,29,37,0.871360,0.818350
19,9,29,38,0.867308,0.824202
19,1,30,31,0.865043,0.824767
19,2,30,32,0.871769,0.822375
19,3,30,33,0.879149,0.830109
19,4,30,34,0.865433,0.820308
19,5,30,35,0.868794,0.819724
19,6,30,36,0.867308,0.819411
19,7,30,37,0.871360,0.827265
19,8,30,38,0.868001,0.818616
19,9,30,39,0.872405,0.820106
19,1,31,32,0.872621,0.812995
19,2,31,33,0.879341,0.828427
19,3,31,34,0.864707,0.811391
19,4,31,35,0.869168,0.817555
19,5,31,36,0.867714,0.817241
19,6,31,37,0.871769,0.826550
19,7,31,38,0.867934,0.824674
19,8,31,39,0.872594,0.816980
19,9,31,40,0.870094,0.815992
19,1,32,33,0.879026,0.819306
19,2,32,34,0.865399,0.815776
19,3,32,35,0.868508,0.821940
19,4,32,36,0.867528,0.819217
19,5,32,37,0.872276,0.818854
19,6,32,38,0.867714,0.824217
19,7,32,39,0.872815,0.823280
19,8,32,40,0.870028,0.824715
19,9,32,41,0.876456,0.826593
19,1,33,34,0.865702,0.816768
19,2,33,35,0.869014,0.822908
19,3,33,36,0.868001,0.823079
19,4,33,37,0.872276,0.823188
19,5,33,38,0.867461,0.826628
19,6,33,39,0.873036,0.831481
19,7,33,40,0.869807,0.826638
19,8,33,41,0.876456,0.829950
19,9,33,42,0.863878,0.813917
19,1,34,35,0.869919,0.821809
19,2,34,36,0.866988,0.820526
19,3,34,37,0.872686,0.821125
19,4,34,38,0.867714,0.821181
19,5,34,39,0.872561,0.811609
19,6,34,40,0.870722,0.819750
19,7,34,41,0.877375,0.815880
19,8,34,42,0.863878,0.814677
19,9,34,43,0.866768,0.821353
19,1,35,36,0.866785,0.817051
19,2,35,37,0.871736,0.817653
19,3,35,38,0.868848,0.809549
19,4,35,39,0.873954,0.823046
19,5,35,40,0.870215,0.821097
19,6,35,41,0.877820,0.821542
19,7,35,42,0.862899,0.812666
19,8,35,43,0.866261,0.821732
19,9,35,44,0.871360,0.822688
19,1,36,37,0.871508,0.829917
19,2,36,38,0.867681,0.817387
19,3,36,39,0.873543,0.819360
19,4,36,40,0.870502,0.815490
